labels,text
spam,Your package couldn't be delivered because no one was home. Schedule a new date here: https://vat-redelivery.com?CanadaPost
spam,"We are writing to inform you that we attempted to deliver your order, but were unable to complete the delivery. Please follow the tracking below and reschedule another delivery attempt at the earliest convenience. * Fees may apply"
spam,"Fіⅾо-Мοbіⅼіtу
Frее Μѕց Fоr, 16047296168 : Рауⅿеոt Սрⅾаtе Ꭱеԛսіrеⅾ
Ԝе еոсοսոtеrеⅾ аո іѕѕսе ԝhіⅼе рrοсеѕѕіոց уоսr rесеոt рауⅿеոt, ԝhісh rеԛսіrеѕ уοսr рrоⅿрt аttеոtіоո tο аⅴοіⅾ аոу іոtеrrսрtіоո tо уοսr ѕеrⅴісе.
Рⅼеаѕе սрⅾаtе уоսr рауⅿеոt іոfоrⅿаtіοո аѕ ѕοοո аѕ рοѕѕіbⅼе bу ⅴіѕіtіոց:  fido-mobilityaccount-5g.net"
spam,"Your debit card starting with 4536 has been locked due to suspicious activity. To restore access to your account, please verify your information using the link below."
spam,"RBC
For your protection, we've placed a temporary hold on your card access starting with 4519**. Click the link below to remove the hold: https://rbcteam01-support22-login01.com"
spam,We'll return your item to the sender if a time frame for arrival is not picked by Monday
spam,"WE ARE HIRING
JOIN OUR PROFESSIONAL TEAM
Remote Online Evaluator
Salary:$170-500 CAD per day
Working hours: 1-2 hours per day
Time freedom: Can be done at home anytime
If interested, reply 'Yes' or 'Interested'"
spam,Please note that your 2% annual cashback is about to expire in two days. You can visit any store or use Interac at costco2023cashback.com to claim it. Don't miss out—take advantage of your benefits right away! We appreciate your steadfast loyalty!
spam,"Unfortunately, your package was not delivered because no one was home. Reschedule at: https://delivery-schedule.com?CanadaPost"
spam,"BMO Client Card Security Alert.
We've noticed irregular activities on your BMO client card. To avoid any unauthorized transactions, your card starting in 5510 29** has been restricted.
For a quick resolution, please visit the link below to verify your identity and to unblock your client card.
Thanks,
BMO Bank Of Montreal"
spam,"𐊢ꓣА_𝖧𐑈𝗍-124024
-ꓮ𝗆ⲟ𝗎ոt: (550.21) САꓓ
GOTO:txarcgvt4.com"
